"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C34","CS-3216","48.895mm","8.636mm","48.895mm","8.636mm","50.495mm","8.636mm","T","180.00","22uF"
"C33","CS-3216","48.895mm","11.176mm","48.895mm","11.176mm","50.495mm","11.176mm","T","180.00","22uF"
"Q1","SOT-23","41.2674mm","22.6652mm","41.275mm","22.6601mm","40.1206mm","23.619mm","T","0.00","MMBT6427/SOT-23"
"J10","HEADER_2.54_7X2","40.894mm","28.194mm","40.894mm","28.194mm","48.514mm","29.464mm","B","360.00","CON 14P DUAL"
"ZD2","PowerDI123","52.1762mm","29.5545mm","52.4887mm","29.5545mm","50.6387mm","29.5545mm","T","180.00","DFLS140"
"U7","TO252-5L","61.214mm","28.2845mm","61.214mm","28.2845mm","57.014mm","30.8245mm","T","270.00","XL7015E1"
"U6","SOIC-8","30.748mm","23.021mm","30.734mm","22.987mm","27.954mm","24.9261mm","T","270.00","LM56"
"U3","SOT-23-5P","38.481mm","11.43mm","38.481mm","11.43mm","37.131mm","12.38mm","T","270.00","AME5253-AEVADJ"
"TP9","TP-SMD(1.0)","36.83mm","19.1041mm","36.83mm","19.1041mm","36.83mm","19.1041mm","T","90.00","TRIG_H"
"TP8","TP-SMD(1.0)","34.6595mm","19.05mm","34.6595mm","19.05mm","34.6595mm","19.05mm","T","90.00","VTEMP"
"R42","RS-1005","56.9101mm","23.495mm","56.9101mm","23.495mm","57.3601mm","23.495mm","T","180.00","100K"
"R40","RS-1005","38.1mm","23.6561mm","38.1mm","23.6561mm","37.65mm","23.6561mm","T","360.00","1K"
"R38","RS-1005","25.781mm","22.86mm","25.781mm","22.86mm","25.781mm","23.31mm","T","270.00","8.56"
"R37","RS-1005","25.781mm","24.892mm","25.781mm","24.892mm","25.781mm","25.342mm","T","270.00","10K"
"R34","RS-1005","9.144mm","21.971mm","9.144mm","21.971mm","9.144mm","22.421mm","T","270.00","10K"
"R33","RS-1005","7.805mm","21.971mm","7.805mm","21.971mm","7.805mm","21.521mm","T","90.00","10K"
"R28","RS-1005","8.001mm","41.402mm","8.001mm","41.402mm","8.001mm","41.852mm","B","270.00","75"
"R27","RS-1005","9.2806mm","41.402mm","9.2806mm","41.402mm","9.2806mm","41.852mm","B","270.00","75"
"R26","RS-1005","13.848mm","43.503mm","13.848mm","43.503mm","13.398mm","43.503mm","T","360.00","75"
